name,type,region_name
"Майкоп",city,"Республика Адыгея"
"Веселый",settlement,"Республика Адыгея"
"Гавердовский",settlement,"Республика Адыгея"
"Подгорный",settlement,"Республика Адыгея"
"Родниковый",settlement,"Республика Адыгея"
"Северный",settlement,"Республика Адыгея"
"Ханская",settlement,"Республика Адыгея"
"Западный",settlement,"Республика Адыгея"
"Косинов",settlement,"Республика Адыгея"
"Адыгейск",city,"Республика Адыгея"
"Гатлукай",settlement,"Республика Адыгея"
"Псекупс",settlement,"Республика Адыгея"
"Кошехабльский",district,"Республика Адыгея"
"Кошехабль",settlement,"Республика Адыгея"
"Блечепсин",settlement,"Республика Адыгея"
"Вольное",settlement,"Республика Адыгея"
"Дмитриевский",settlement,"Республика Адыгея"
"Дружба",settlement,"Республика Адыгея"
"Егерухай",settlement,"Республика Адыгея"
"Игнатьевский",settlement,"Республика Адыгея"
"Казенно-Кужорский",settlement,"Республика Адыгея"
"Кармолино-Гидроицкий",settlement,"Республика Адыгея"
"Комсомольский",settlement,"Республика Адыгея"
"Красный Фарс",settlement,"Республика Адыгея"
"Красный",settlement,"Республика Адыгея"
"Майский",settlement,"Республика Адыгея"
"Натырбово",settlement,"Республика Адыгея"
"Новоалексеевский",settlement,"Республика Адыгея"
"Отрадный",settlement,"Республика Адыгея"
"Плодопитомник",settlement,"Республика Адыгея"
"Политотдел",settlement,"Республика Адыгея"
"Соколов",settlement,"Республика Адыгея"
"Хачемзий",settlement,"Республика Адыгея"
"Ходзь",settlement,"Республика Адыгея"
"Чехрак",settlement,"Республика Адыгея"
"Чехрак",settlement,"Республика Адыгея"
"Шелковников",settlement,"Республика Адыгея"
"Красногвардейский",district,"Республика Адыгея"
"Красногвардейское",settlement,"Республика Адыгея"
"Адамий",settlement,"Республика Адыгея"
"Белое",settlement,"Республика Адыгея"
"Бжедугхабль",settlement,"Республика Адыгея"
"Богурсуков",settlement,"Республика Адыгея"
"Большесидоровское",settlement,"Республика Адыгея"
"Верхненазаровское",settlement,"Республика Адыгея"
"Водный",settlement,"Республика Адыгея"
"Джамбечий",settlement,"Республика Адыгея"
"Догужиев",settlement,"Республика Адыгея"
"Еленовское",settlement,"Республика Адыгея"
"Лесной",settlement,"Республика Адыгея"
"Мирный",settlement,"Республика Адыгея"
"Набережный",settlement,"Республика Адыгея"
"Новосевастопольское",settlement,"Республика Адыгея"
"Папенков",settlement,"Республика Адыгея"
"Преображенское",settlement,"Республика Адыгея"
"Пустоселов",settlement,"Республика Адыгея"
"Садовое",settlement,"Республика Адыгея"
"Саратовский",settlement,"Республика Адыгея"
"Свободный",settlement,"Республика Адыгея"
"Уляп",settlement,"Республика Адыгея"
"Хатукай",settlement,"Республика Адыгея"
"Чумаков",settlement,"Республика Адыгея"
"Штурбино",settlement,"Республика Адыгея"
"Ягодка",settlement,"Республика Адыгея"
"Утро",settlement,"Республика Адыгея"
"Майкопский",district,"Республика Адыгея"
"Тульский",settlement,"Республика Адыгея"
"Абадзехская",settlement,"Республика Адыгея"
"Безводная",settlement,"Республика Адыгея"
"Веселый",settlement,"Республика Адыгея"
"Веселый",settlement,"Республика Адыгея"
"Вольный",settlement,"Республика Адыгея"
"Гражданский",settlement,"Республика Адыгея"
"Грозный",settlement,"Республика Адыгея"
"Грозный",settlement,"Республика Адыгея"
"Гузерипль",settlement,"Республика Адыгея"
"Дагестанская",settlement,"Республика Адыгея"
"Даховская",settlement,"Республика Адыгея"
"Дьяков",settlement,"Республика Адыгея"
"Калинин",settlement,"Республика Адыгея"
"Каменномостский",settlement,"Республика Адыгея"
"Кармир-Астх",settlement,"Республика Адыгея"
"Никель",settlement,"Республика Адыгея"
"Коминтерн",settlement,"Республика Адыгея"
"Красная Улька",settlement,"Республика Адыгея"
"Краснооктябрьский",settlement,"Республика Адыгея"
"Красный Мост",settlement,"Республика Адыгея"
"Кужорская",settlement,"Республика Адыгея"
"Курджипская",settlement,"Республика Адыгея"
"Махошеполяна",settlement,"Республика Адыгея"
"Меркулаевка",settlement,"Республика Адыгея"
"Мирный",settlement,"Республика Адыгея"
"Мичурина",settlement,"Республика Адыгея"
"Новопрохладное",settlement,"Республика Адыгея"
"Новосвободная",settlement,"Республика Адыгея"
"Октябрьский",settlement,"Республика Адыгея"
"17 лет Октября",settlement,"Республика Адыгея"
"Первомайский",settlement,"Республика Адыгея"
"Победа",settlement,"Республика Адыгея"
"Победа",settlement,"Республика Адыгея"
"Подгорный",settlement,"Республика Адыгея"
"Приречный",settlement,"Республика Адыгея"
"Причтовский",settlement,"Республика Адыгея"
"Пролетарский",settlement,"Республика Адыгея"
"Садовый",settlement,"Республика Адыгея"
"Садовый",settlement,"Республика Адыгея"
"Севастопольская",settlement,"Республика Адыгея"
"Северо-Восточные Сады",settlement,"Республика Адыгея"
"Советский",settlement,"Республика Адыгея"
"Совхозный",settlement,"Республика Адыгея"
"Спокойный",settlement,"Республика Адыгея"
"Табачный",settlement,"Республика Адыгея"
"Тимирязева",settlement,"Республика Адыгея"
"Ткачев",settlement,"Республика Адыгея"
"Трехречный",settlement,"Республика Адыгея"
"Удобный",settlement,"Республика Адыгея"
"Усть-Сахрай",settlement,"Республика Адыгея"
"Хамышки",settlement,"Республика Адыгея"
"Хакодзь",settlement,"Республика Адыгея"
"Цветочный",settlement,"Республика Адыгея"
"Шаумян",settlement,"Республика Адыгея"
"Шунтук",settlement,"Республика Адыгея"
"Мафэхабль",settlement,"Республика Адыгея"
"Учебное лесничество",settlement,"Республика Адыгея"
"Приозерное",settlement,"Республика Адыгея"
"Тахтамукайский",district,"Республика Адыгея"
"Тахтамукай",settlement,"Республика Адыгея"
"Апостолиди",settlement,"Республика Адыгея"
"Афипсип",settlement,"Республика Адыгея"
"Дружный",settlement,"Республика Адыгея"
"Козет",settlement,"Республика Адыгея"
"Красноармейский",settlement,"Республика Адыгея"
"Кубаньстрой",settlement,"Республика Адыгея"
"Натухай",settlement,"Республика Адыгея"
"Новая Адыгея",settlement,"Республика Адыгея"
"Новобжегокай",settlement,"Республика Адыгея"
"Новомогилевский",settlement,"Республика Адыгея"
"Новый",settlement,"Республика Адыгея"
"Новый Сад",settlement,"Республика Адыгея"
"Отрадный",settlement,"Республика Адыгея"
"Панахес",settlement,"Республика Адыгея"
"Перекатный",settlement,"Республика Адыгея"
"Прикубанский",settlement,"Республика Адыгея"
"Псейтук",settlement,"Республика Адыгея"
"Старобжегокай",settlement,"Республика Адыгея"
"Старомогилевский",settlement,"Республика Адыгея"
"Суповский",settlement,"Республика Адыгея"
"Супс",settlement,"Республика Адыгея"
"Хаштук",settlement,"Республика Адыгея"
"Хомуты",settlement,"Республика Адыгея"
"Шенджий",settlement,"Республика Адыгея"
"Энем",settlement,"Республика Адыгея"
"Яблоновский",settlement,"Республика Адыгея"
"40 лет СА и ВМФ",settlement,"Республика Адыгея"
"Шенджий",settlement,"Республика Адыгея"
"Теучежский",district,"Республика Адыгея"
"Понежукай",settlement,"Республика Адыгея"
"Ассоколай",settlement,"Республика Адыгея"
"Вочепший",settlement,"Республика Адыгея"
"Габукай",settlement,"Республика Адыгея"
"Городской",settlement,"Республика Адыгея"
"Джиджихабль",settlement,"Республика Адыгея"
"Заря",settlement,"Республика Адыгея"
"Казазов",settlement,"Республика Адыгея"
"Колос",settlement,"Республика Адыгея"
"Кунчукохабль",settlement,"Республика Адыгея"
"Кочкин",settlement,"Республика Адыгея"
"Кочкин",settlement,"Республика Адыгея"
"Красное",settlement,"Республика Адыгея"
"Красненский",settlement,"Республика Адыгея"
"Начерезий",settlement,"Республика Адыгея"
"Нешукай",settlement,"Республика Адыгея"
"Нововочепший",settlement,"Республика Адыгея"
"Петров",settlement,"Республика Адыгея"
"Пчегатлукай",settlement,"Республика Адыгея"
"Пшикуйхабль",settlement,"Республика Адыгея"
"Тауйхабль",settlement,"Республика Адыгея"
"Тлюстенхабль",settlement,"Республика Адыгея"
"Тугургой",settlement,"Республика Адыгея"
"Чабанов",settlement,"Республика Адыгея"
"Четук",settlement,"Республика Адыгея"
"Шевченко",settlement,"Республика Адыгея"
"Шундук",settlement,"Республика Адыгея"
"Шовгеновский",district,"Республика Адыгея"
"Хакуринохабль",settlement,"Республика Адыгея"
"Веселый",settlement,"Республика Адыгея"
"Джерокай",settlement,"Республика Адыгея"
"Дорошенко",settlement,"Республика Адыгея"
"Дукмасов",settlement,"Республика Адыгея"
"Задунаевский",settlement,"Республика Адыгея"
"Зарево",settlement,"Республика Адыгея"
"Кабехабль",settlement,"Республика Адыгея"
"Касаткин",settlement,"Республика Адыгея"
"Келеметов",settlement,"Республика Адыгея"
"Киров",settlement,"Республика Адыгея"
"Лейбоабазов",settlement,"Республика Адыгея"
"Лесхозный",settlement,"Республика Адыгея"
"Мамацев",settlement,"Республика Адыгея"
"Мамхег",settlement,"Республика Адыгея"
"Михайлов",settlement,"Республика Адыгея"
"Мокроназаров",settlement,"Республика Адыгея"
"Новорусов",settlement,"Республика Адыгея"
"Орехов",settlement,"Республика Адыгея"
"Пентюхов",settlement,"Республика Адыгея"
"Пикалин",settlement,"Республика Адыгея"
"Пшизов",settlement,"Республика Адыгея"
"Пшичо",settlement,"Республика Адыгея"
"Свободный Труд",settlement,"Республика Адыгея"
"Семено-Макаренский",settlement,"Республика Адыгея"
"Тихонов",settlement,"Республика Адыгея"
"Ульский",settlement,"Республика Адыгея"
"Хапачев",settlement,"Республика Адыгея"
"Хатажукай",settlement,"Республика Адыгея"
"Чернышев",settlement,"Республика Адыгея"
"Чикалов",settlement,"Республика Адыгея"
"Гиагинский",district,"Республика Адыгея"
"Гиагинская",settlement,"Республика Адыгея"
"Владимировское",settlement,"Республика Адыгея"
"Вольно-Веселый",settlement,"Республика Адыгея"
"Георгиевское",settlement,"Республика Адыгея"
"Гончарка",settlement,"Республика Адыгея"
"Днепровский",settlement,"Республика Адыгея"
"Дондуковская",settlement,"Республика Адыгея"
"Екатериновский",settlement,"Республика Адыгея"
"Карцев",settlement,"Республика Адыгея"
"Келермесская",settlement,"Республика Адыгея"
"Козополянский",settlement,"Республика Адыгея"
"Колхозный",settlement,"Республика Адыгея"
"Красный Пахарь",settlement,"Республика Адыгея"
"Красный Хлебороб",settlement,"Республика Адыгея"
"Курский",settlement,"Республика Адыгея"
"Лесной",settlement,"Республика Адыгея"
"Михельсоновский",settlement,"Республика Адыгея"
"Нечаевский",settlement,"Республика Адыгея"
"Нижний Айрюм",settlement,"Республика Адыгея"
"Новый",settlement,"Республика Адыгея"
"Образцовое",settlement,"Республика Адыгея"
"Первомайский",settlement,"Республика Адыгея"
"Прогресс",settlement,"Республика Адыгея"
"Сергиевское",settlement,"Республика Адыгея"
"Садовый",settlement,"Республика Адыгея"
"Смольчев-Малиновский",settlement,"Республика Адыгея"
"Тамбовский",settlement,"Республика Адыгея"
"Фарсовский",settlement,"Республика Адыгея"
"Черемушкин",settlement,"Республика Адыгея"
"Шишкинский",settlement,"Республика Адыгея"
"Огородные участки ц.водозабора",settlement,"Республика Адыгея"
"Уфа",city,"Республика Башкортостан"
"Участка Нагаевского лесничества",settlement,"Республика Башкортостан"
"Никольский",settlement,"Республика Башкортостан"
"1623 км",settlement,"Республика Башкортостан"
"Королево",settlement,"Республика Башкортостан"
"Жилино",settlement,"Республика Башкортостан"
"Ветошниково",settlement,"Республика Башкортостан"
"станции Уршак",settlement,"Республика Башкортостан"
"Аркаул",settlement,"Республика Башкортостан"
"Карпово",settlement,"Республика Башкортостан"
"Самохваловка",settlement,"Республика Башкортостан"
"Ивановский",settlement,"Республика Башкортостан"
"Зинино",settlement,"Республика Башкортостан"
"Новые Черкассы",settlement,"Республика Башкортостан"
"Вотикеево",settlement,"Республика Башкортостан"
"Федоровка",settlement,"Республика Башкортостан"
"Нагаево",settlement,"Республика Башкортостан"
"Локотки",settlement,"Республика Башкортостан"
"Камышлинского мелькомбината",settlement,"Республика Башкортостан"
"Поляна",settlement,"Республика Башкортостан"
"Князево",settlement,"Республика Башкортостан"
"Старые Турбаслы",settlement,"Республика Башкортостан"
"Мокроусово",settlement,"Республика Башкортостан"
"Атаевка",settlement,"Республика Башкортостан"
"Искино",settlement,"Республика Башкортостан"
"Елкибаево",settlement,"Республика Башкортостан"
"Агидель",city,"Республика Башкортостан"
"Нефтекамск",city,"Республика Башкортостан"
"Ташкиново",settlement,"Республика Башкортостан"
"Марино",settlement,"Республика Башкортостан"
"Крым-Сараево",settlement,"Республика Башкортостан"
"Амзя",settlement,"Республика Башкортостан"
"Энергетик",settlement,"Республика Башкортостан"
"Хмелевка",settlement,"Республика Башкортостан"
"Чишма",settlement,"Республика Башкортостан"
"Октябрьский",city,"Республика Башкортостан"
"40-й",settlement,"Республика Башкортостан"
"37-й",settlement,"Республика Башкортостан"
"Салават",city,"Республика Башкортостан"
"Сибай",city,"Республика Башкортостан"
"Туяляс",settlement,"Республика Башкортостан"
"Кумертау",city,"Республика Башкортостан"
"Маячный",settlement,"Республика Башкортостан"
"Ира",settlement,"Республика Башкортостан"
"Алексеевка",settlement,"Республика Башкортостан"
"Старая Уралка",settlement,"Республика Башкортостан"
"Межгорье",city,"Республика Башкортостан"
"Туялясский",city,"Республика Башкортостан"
"Маячинский",city,"Республика Башкортостан"
"Подгорный",city,"Республика Башкортостан"
"Стерлитамак",city,"Республика Башкортостан"
"Уфимский",district,"Республика Башкортостан"
"Алексеевка",settlement,"Республика Башкортостан"
"Булгаково",settlement,"Республика Башкортостан"
"Дубки",settlement,"Республика Башкортостан"
"Камышлы",settlement,"Республика Башкортостан"
"Ольховое",settlement,"Республика Башкортостан"
"Песчаный",settlement,"Республика Башкортостан"
"Стуколкино",settlement,"Республика Башкортостан"
"Федоровка",settlement,"Республика Башкортостан"
